CC,USN,sgpa
1AC,1AC16CS001,6.33
1AC,1AC16CS002,6.67
1AC,1AC16CS003,2.08
1AC,1AC16CS004,4.92
1AC,1AC16CS005,6.67
1AC,1AC16CS006,2.33
1AC,1AC16CS007,5.92
1AC,1AC16CS008,2.17
1AC,1AC16CS009,4.58
1AC,1AC16CS010,3.33
1AC,1AC16CS011,2.33
1AC,1AC16CS012,6.5
1AC,1AC16CS013,6.5
1AC,1AC16CS014,1.17
1AC,1AC16CS015,6.25
1AC,1AC16CS016,4.5
1AC,1AC16CS017,5.92
1AC,1AC16CS018,1.33
1AC,1AC16CS019,1.92
1AC,1AC16CS020,2.58
1AC,1AC16CS021,5
1AC,1AC16CS022,6.33
1AC,1AC16CS023,5.67
1AC,1AC16CS024,3.08
1AC,1AC16CS025,5.75
1AC,1AC16CS026,5.67
1AC,1AC16CS027,2.92
1AC,1AC16CS028,3.17
1AC,1AC16CS029,6.17
1AC,1AC16CS030,1.08
1AC,1AC16CS031,3
1AC,1AC16CS032,7.08
1AC,1AC16CS033,2.08
1AC,1AC16CS034,1.83
1AC,1AC16CS035,3.25
1AC,1AC16CS036,2.5
1AC,1AC16CS037,2.92
1AC,1AC16CS038,1.25
1AC,1AC16CS039,2
1AC,1AC16CS040,2.42
1AC,1AC16CS041,3
1AC,1AC16CS042,2.33
1AC,1AC16CS043,2.25
1AC,1AC16CS044,3.92
1AC,1AC16CS045,5.75
1AC,1AC16CS046,3.75
1AC,1AC16CS047,2.08
1AC,1AC16CS048,2.33
1AC,1AC16CS049,1.83
1AC,1AC16CS050,1.25
1AC,1AC16CS051,5.33
1AC,1AC16CS052,2.5
1AC,1AC16CS053,3
1AC,1AC16CS054,6.92
1AC,1AC16CS055,7
1AC,1AC16CS056,2.5
1AC,1AC16CS057,2.42
1AC,1AC16CS058,1.92
1AC,1AC16CS059,5.42
1AC,1AC16CS060,7.33
1AC,1AC16CS061,2.25
1AC,1AC16CS062,4.58
1AC,1AC16CS063,6.5
1AC,1AC16CS064,1.83
1AC,1AC16CS065,3.42
1AC,1AC16CS066,6.58
1AC,1AC16CS067,2.25
1AC,1AC16CS068,2.83
1AC,1AC16CS069,1.75
1AC,1AC16CS070,1.75
1AC,1AC16CS071,0.58
1AC,1AC16CS072,1
1AC,1AC16CS073,0.58
1AC,1AC16CS074,6.58
1AC,1AC16CS075,1.83
1AC,1AC16CS076,6.58
1AC,1AC16CS077,5.33
1AC,1AC16CS078,2.5
1AC,1AC16CS079,5.5
1AC,1AC16CS080,2.08
1AC,1AC16CS081,6.92
1AH,1AH16CS001,2.08
1AH,1AH16CS002,2.83
1AH,1AH16CS003,5.42
1AH,1AH16CS004,1.42
1AH,1AH16CS005,1.17
1AH,1AH16CS006,6.17
1AH,1AH16CS007,6.08
1AH,1AH16CS008,1.08
1AH,1AH16CS009,7
1AH,1AH16CS010,6.25
1AH,1AH16CS011,7.92
1AH,1AH16CS012,6.08
1AH,1AH16CS013,3.75
1AH,1AH16CS014,6.5
1AH,1AH16CS015,2.58
1AH,1AH16CS016,5.67
1AH,1AH16CS017,6.83
1AH,1AH16CS018,3.08
1AH,1AH16CS019,4.58
1AH,1AH16CS020,6.58
1AH,1AH16CS021,7.75
1AH,1AH16CS022,6.17
1AH,1AH16CS023,0
1AH,1AH16CS024,6.58
1AH,1AH16CS025,7.83
1AH,1AH16CS026,3.67
1AH,1AH16CS027,7.5
1AH,1AH16CS028,6.42
1AH,1AH16CS029,5.92
1AH,1AH16CS030,7.83
1AH,1AH16CS031,5.17
1AH,1AH16CS032,2
1AH,1AH16CS033,7.58
1AH,1AH16CS034,8.17
1AH,1AH16CS035,5.83
1AH,1AH16CS036,6.83
1AH,1AH16CS037,5.5
1AH,1AH16CS038,2.17
1AH,1AH16CS039,5.08
1AH,1AH16CS040,7.42
1AH,1AH16CS041,6.58
1AH,1AH16CS042,7.83
1AH,1AH16CS043,2.75
1AH,1AH16CS044,2
1AH,1AH16CS045,4.25
1AH,1AH16CS046,5.92
1AH,1AH16CS047,5.92
1AH,1AH16CS048,6.33
1AH,1AH16CS049,7.25
1AH,1AH16CS050,7
1AH,1AH16CS051,1.83
1AH,1AH16CS052,5.33
1AH,1AH16CS053,5.92
1AH,1AH16CS054,5.83
1AH,1AH16CS055,7.17
1AH,1AH16CS056,3.42
1AH,1AH16CS057,0
1AH,1AH16CS058,5.75
1AJ,1AJ16CS001,3
1AJ,1AJ16CS002,1.08
1AJ,1AJ16CS003,1.33
1AJ,1AJ16CS004,4.58
1AJ,1AJ16CS005,2.92
1AJ,1AJ16CS006,3.75
1AJ,1AJ16CS007,8.83
1AJ,1AJ16CS008,5.58
1AJ,1AJ16CS009,2.25
1AJ,1AJ16CS010,0.67
1AJ,1AJ16CS011,7.67
1AJ,1AJ16CS012,2.08
1AJ,1AJ16CS013,6.17
1AJ,1AJ16CS014,6.83
1AJ,1AJ16CS015,4.5
1AJ,1AJ16CS016,3.33
1AJ,1AJ16CS017,6.42
1AJ,1AJ16CS018,1.25
1AJ,1AJ16CS019,8.33
1AJ,1AJ16CS020,4.17
1AJ,1AJ16CS021,4.5
1AJ,1AJ16CS022,2.5
1AJ,1AJ16CS023,1.33
1AJ,1AJ16CS024,1.17
1AJ,1AJ16CS025,3.33
1AJ,1AJ16CS026,4.58
1AJ,1AJ16CS027,5.67
1AJ,1AJ16CS028,1.33
1AJ,1AJ16CS029,2
1AJ,1AJ16CS030,0
1AJ,1AJ16CS031,1.17
1AJ,1AJ16CS032,1.5
1AJ,1AJ16CS033,1.25
1AJ,1AJ16CS034,2.08
1AJ,1AJ16CS035,4
1AJ,1AJ16CS036,1.25
1AJ,1AJ16CS037,5.67
1AJ,1AJ16CS038,1.42
1AJ,1AJ16CS039,3.08
1AJ,1AJ16CS040,2.42
1AJ,1AJ16CS041,2.17
1AJ,1AJ16CS042,3.08
1AJ,1AJ16CS043,1.33
1AJ,1AJ16CS044,6.92
1AJ,1AJ16CS045,7.42
1AJ,1AJ16CS046,3
1AJ,1AJ16CS047,1.25
1AK,1AK16CS001,6.08
1AK,1AK16CS002,1.25
1AK,1AK16CS003,3.25
1AK,1AK16CS004,3.92
1AK,1AK16CS005,5.25
1AK,1AK16CS006,6.75
1AK,1AK16CS007,5.42
1AK,1AK16CS008,4.08
1AK,1AK16CS009,6.08
1AK,1AK16CS010,1.42
1AK,1AK16CS011,3.33
1AK,1AK16CS012,6.83
1AK,1AK16CS013,6.5
1AK,1AK16CS014,4.92
1AK,1AK16CS015,1.42
1AK,1AK16CS016,1.83
1AK,1AK16CS017,6.75
1AK,1AK16CS018,5.25
1AK,1AK16CS019,1.83
1AK,1AK16CS020,3.25
1AK,1AK16CS021,6.75
1AK,1AK16CS022,4.75
1AK,1AK16CS023,3.58
1AK,1AK16CS024,4
1AK,1AK16CS025,4.58
1AK,1AK16CS026,5.33
1AK,1AK16CS027,3.33
1AK,1AK16CS028,3.42
1AK,1AK16CS029,6.42
1AK,1AK16CS030,5.33
1AK,1AK16CS031,2.25
1AK,1AK16CS032,2
1AK,1AK16CS033,4.92
1AK,1AK16CS034,3
1AK,1AK16CS035,3.33
1AK,1AK16CS036,3.42
1AK,1AK16CS037,4
1AK,1AK16CS038,8
1AK,1AK16CS039,5.25
1AK,1AK16CS040,4.25
1AK,1AK16CS041,3.17
1AK,1AK16CS042,2.75
1AM,1AM16CS001,5.17
1AM,1AM16CS002,7
1AM,1AM16CS003,2.42
1AM,1AM16CS004,2.75
1AM,1AM16CS005,6.42
1AM,1AM16CS006,6.25
1AM,1AM16CS007,6.75
1AM,1AM16CS008,7.33
1AM,1AM16CS009,0.83
1AM,1AM16CS010,7.08
1AM,1AM16CS011,2.25
1AM,1AM16CS012,6.92
1AM,1AM16CS013,8.92
1AM,1AM16CS014,6.67
1AM,1AM16CS015,8.5
1AM,1AM16CS016,2.25
1AM,1AM16CS017,7.33
1AM,1AM16CS018,8.5
1AM,1AM16CS019,8.92
1AM,1AM16CS020,6.5
1AM,1AM16CS021,7.92
1AM,1AM16CS022,3.08
1AM,1AM16CS023,2.83
1AM,1AM16CS024,7.33
1AM,1AM16CS025,7
1AM,1AM16CS026,6.25
1AM,1AM16CS027,3.08
1AM,1AM16CS028,8.83
1AM,1AM16CS029,2.42
1AM,1AM16CS030,0
1AM,1AM16CS031,3.92
1AM,1AM16CS032,6.75
1AM,1AM16CS033,5.83
1AM,1AM16CS034,8
1AM,1AM16CS035,7.5
1AM,1AM16CS036,7.67
1AM,1AM16CS037,7.83
1AM,1AM16CS038,6.08
1AM,1AM16CS039,3.08
1AM,1AM16CS040,0
1AM,1AM16CS041,6.75
1AM,1AM16CS042,1.67
1AM,1AM16CS043,6.33
1AM,1AM16CS044,6.58
1AM,1AM16CS045,9
1AM,1AM16CS046,1.75
1AM,1AM16CS047,5
1AM,1AM16CS048,4.92
1AM,1AM16CS049,7.75
1AM,1AM16CS050,7
1AM,1AM16CS051,5.33
1AM,1AM16CS052,7.58
1AM,1AM16CS053,5.25
1AM,1AM16CS054,3.67
1AM,1AM16CS055,1.83
1AM,1AM16CS056,7.08
1AM,1AM16CS057,3.08
1AM,1AM16CS058,5.75
1AM,1AM16CS059,6.25
1AM,1AM16CS060,7.25
1AM,1AM16CS061,1
1AM,1AM16CS062,6.75
1AM,1AM16CS063,4.17
1AM,1AM16CS064,7.5
1AM,1AM16CS065,8.25
1AM,1AM16CS066,5.58
1AM,1AM16CS067,6
1AM,1AM16CS068,4
1AM,1AM16CS069,3.92
1AM,1AM16CS070,3.25
1AM,1AM16CS071,5.5
1AM,1AM16CS072,3.92
1AM,1AM16CS073,7.5
1AM,1AM16CS074,5.83
1AM,1AM16CS075,6.75
1AM,1AM16CS076,4.75
1AM,1AM16CS077,2.83
1AM,1AM16CS078,8.17
1AM,1AM16CS079,4.08
1AM,1AM16CS080,6.92
1AM,1AM16CS081,9.17
1AM,1AM16CS082,8.17
1AM,1AM16CS083,5.42
1AM,1AM16CS084,4.33
1AM,1AM16CS085,3.67
1AM,1AM16CS086,4.42
1AM,1AM16CS087,3.67
1AM,1AM16CS088,4
1AM,1AM16CS089,7.25
1AM,1AM16CS090,7.25
1AM,1AM16CS091,1.58
1AM,1AM16CS092,8.25
1AM,1AM16CS093,5.83
1AM,1AM16CS094,7.75
1AM,1AM16CS095,6.17
1AM,1AM16CS096,5.17
1AM,1AM16CS097,6.67
1AM,1AM16CS098,6.33
1AM,1AM16CS099,7.75
1AM,1AM16CS100,3.33
1AM,1AM16CS101,8
1AM,1AM16CS102,2.17
1AM,1AM16CS103,6.75
1AM,1AM16CS104,0.83
1AM,1AM16CS105,1
1AM,1AM16CS106,8.42
1AM,1AM16CS107,5.17
1AM,1AM16CS108,3.42
1AM,1AM16CS109,0
1AM,1AM16CS110,7.42
1AM,1AM16CS111,8.17
1AM,1AM16CS112,8.75
1AM,1AM16CS113,7.92
1AM,1AM16CS114,1.75
1AM,1AM16CS115,3.67
1AM,1AM16CS116,0.58
1AM,1AM16CS117,1.25
1AM,1AM16CS118,5.92
1AM,1AM16CS119,4.17
1AM,1AM16CS120,6.5
1AM,1AM16CS121,5.42
1AM,1AM16CS122,2.33
1AM,1AM16CS123,6
1AM,1AM16CS124,7.25
1AM,1AM16CS125,7.08
1AM,1AM16CS126,5.58
1AM,1AM16CS127,6.25
1AM,1AM16CS128,6.08
1AM,1AM16CS129,8.33
1AM,1AM16CS130,8.08
1AM,1AM16CS131,0
1AM,1AM16CS132,2.92
1AM,1AM16CS133,7
1AM,1AM16CS134,7.58
1AM,1AM16CS135,8.17
1AM,1AM16CS136,7.92
1AM,1AM16CS137,3.83
1AM,1AM16CS138,3.42
1AM,1AM16CS139,6.08
1AM,1AM16CS140,6.33
1AM,1AM16CS141,7.25
1AM,1AM16CS142,5.75
1AM,1AM16CS143,6.92
1AM,1AM16CS144,5.33
1AM,1AM16CS145,7
1AM,1AM16CS146,6.92
1AM,1AM16CS147,3.92
1AM,1AM16CS148,7.42
1AM,1AM16CS149,2.17
1AM,1AM16CS150,5.67
1AM,1AM16CS151,4.33
1AM,1AM16CS152,4.25
1AM,1AM16CS153,6.08
1AM,1AM16CS154,4.33
1AM,1AM16CS155,6.5
1AM,1AM16CS156,4.67
1AM,1AM16CS157,3.75
1AM,1AM16CS158,2.25
1AM,1AM16CS159,6.67
1AM,1AM16CS160,7.17
1AM,1AM16CS161,6.25
1AM,1AM16CS162,8.58
1AM,1AM16CS163,7.17
1AM,1AM16CS164,6.75
1AM,1AM16CS165,7.33
1AM,1AM16CS166,7.83
1AM,1AM16CS167,3.75
1AM,1AM16CS168,7.08
1AM,1AM16CS169,8.33
1AM,1AM16CS170,6.17
1AM,1AM16CS171,4.75
1AM,1AM16CS172,6.25
1AM,1AM16CS173,8.08
