CC,sgpa
1AC,6.58
1AC,7.5
1AC,4.33
1AC,5.25
1AC,8.17
1AC,4.67
1AC,6.67
1AC,4.58
1AC,5.5
1AC,3.83
1AC,3.67
1AC,6.5
1AC,7.75
1AC,1.08
1AC,7.25
1AC,6.75
1AC,6.42
1AC,1
1AC,4.92
1AC,1.75
1AC,7.17
1AC,5.83
1AC,7.08
1AC,4.75
1AC,5.75
1AC,7.83
1AC,2.25
1AC,6.75
1AC,6.83
1AC,2.42
1AC,4.17
1AC,6.08
1AC,2.42
1AC,2.58
1AC,2.5
1AC,4.25
1AC,3.08
1AC,2.58
1AC,3.58
1AC,6.75
1AC,5.42
1AC,0.67
1AC,2.83
1AC,6.42
1AC,6.83
1AC,5.67
1AC,1.42
1AC,2.17
1AC,1.25
1AC,1.75
1AC,6.25
1AC,4.25
1AC,5.17
1AC,6.17
1AC,6.58
1AC,3
1AC,6.08
1AC,2.33
1AC,6.33
1AC,8
1AC,3.5
1AC,5.58
1AC,5.58
1AC,4.25
1AC,6.17
1AC,2.08
1AC,3.17
1AC,3.58
1AC,2.92
1AC,1.25
1AC,0.5
1AC,8.33
1AC,1.92
1AC,7.67
1AC,6.42
1AC,2.83
1AC,8.58
1AC,3.5
1AC,6.08
1AM,3.92
1AM,7.58
1AM,2.5
1AM,4
1AM,7.67
1AM,6.92
1AM,8.17
1AM,7.92
1AM,8.33
1AM,3.5
1AM,4.83
1AM,9.17
1AM,7.5
1AM,8.67
1AM,2.58
1AM,8.33
1AM,9.17
1AM,8.58
1AM,6.25
1AM,8.08
1AM,4.08
1AM,3.75
1AM,5.58
1AM,7.5
1AM,4.25
1AM,2.5
1AM,9.25
1AM,0.42
1AM,4.25
1AM,7
1AM,7.58
1AM,8.33
1AM,8.17
1AM,8.67
1AM,7.92
1AM,4.58
1AM,5.5
1AM,4.33
1AM,0.33
1AM,8.5
1AM,7.75
1AM,9.17
1AM,2
1AM,3.75
1AM,6.67
1AM,8.58
1AM,7.92
1AM,6.75
1AM,8.25
1AM,5.5
1AM,3.58
1AM,2.08
1AM,7.67
1AM,3.42
1AM,7.58
1AM,5.5
1AM,7.17
1AM,1.67
1AM,7.17
1AM,6.17
1AM,8.83
1AM,9.33
1AM,7.5
1AM,5.83
1AM,2.92
1AM,6.33
1AM,5.83
1AM,7
1AM,8
1AM,5.67
1AM,8.08
1AM,7.08
1AM,8.67
1AM,3.25
1AM,7.83
1AM,9.5
1AM,8.83
1AM,5.75
1AM,6.75
1AM,4.33
1AM,4.75
1AM,5.25
1AM,5.5
1AM,6.58
1AM,5.83
1AM,9.17
1AM,5.58
1AM,8.33
1AM,8.33
1AM,6.17
1AM,7.33
1AM,6.5
1AM,8.83
1AM,6.42
1AM,8.58
1AM,2.17
1AM,3.92
1AM,8
1AM,6.67
1AM,3.67
1AM,7.5
1AM,8.5
1AM,8.67
1AM,9
1AM,6.75
1AM,0.83
1AM,7.25
1AM,6.33
1AM,6.83
1AM,6.42
1AM,4.75
1AM,6.92
1AM,7.67
1AM,6.83
1AM,4.83
1AM,6.25
1AM,6.08
1AM,6.83
1AM,9
1AM,5.25
1AM,7.42
1AM,7.75
1AM,8.58
1AM,8.25
1AM,6.33
1AM,5.5
1AM,7.5
1AM,8.58
1AM,8.58
1AM,5.42
1AM,6.58
1AM,8.75
1AM,9.33
1AM,8.5
1AM,3.67
1AM,7.67
1AM,3
1AM,4.42
1AM,3.25
1AM,3.17
1AM,5.42
1AM,4.33
1AM,4.33
1AM,4.5
1AM,4.75
1AM,4.25
1AM,7.08
1AM,7.58
1AM,6.33
1AM,8.75
1AM,8
1AM,7.92
1AM,8.5
1AM,8.5
1AM,7.83
1AM,7.5
1AM,4.5
1AM,7.08
1AM,7.5
1AM,8.17
1AM,8.08
1AM,2.75
1AM,6.33
1AM,4.33
1AM,7.08
1AM,5.83
1AM,8.25
1AM,6.92
1AM,7.08
1AM,8.5
1AM,8.25
1AM,3.33
1AM,3.83
1AM,8.58
1AM,2.92
1AM,8.75
1AM,6.42
1AM,3.58
1AM,5.17
1AM,8.42
1AM,3.08
1AM,2.17
1AM,7.75
1AM,3.92
1AM,2.33
1AM,6.17
1AM,4
1AM,6.75
1AM,8.42
1AM,8.5
1AM,1.58
1AM,5.67
1AR,6.25
1AR,7.83
1AR,5.5
1AR,8.08
1AR,4.92
1AR,6.08
1AR,4
1AR,4.83
1AR,5.25
1AR,5.42
1AR,8.33
1AR,7.83
1AT,9.17
1AT,5.58
1AT,3.75
1AT,7.17
1AT,5.17
1AT,5.83
1AT,5
1AT,6.5
1AT,7.25
1AT,8.25
1AT,8.25
1AT,3.08
1AT,5.75
1AT,3.08
1AT,6.08
1AT,6.67
1AT,6.67
1AT,6.92
1AT,9.5
1AT,8
1AT,6.92
1AT,8.17
1AT,9.08
1AT,8.67
1AT,6.17
1AT,8.67
1AT,6.58
1AT,7.25
1AT,4.25
1AT,5.5
1AT,6.08
1AT,3.17
1AT,5.5
1AT,7.83
1AT,5.08
1AT,8
1AT,9.5
1AT,8.25
1AT,6.75
1AT,7.67
1AT,7.75
1AT,9.33
1AT,8.17
1AT,7.92
1AT,8.33
1AT,7.08
1AT,5.67
1AT,8.67
1AT,8.17
1AT,6.33
1AT,8.17
1AT,7.08
1AT,7.92
1AT,5.83
1AT,6.33
1AT,7.75
1AT,9.5
1AT,5.33
1AT,6.33
1AT,6.58
1AT,7.08
1AT,4.25
1AT,6.08
1AT,7.67
1AT,3.17
1AT,9.17
1AT,7.42
1AT,7
1AT,4.25
1AT,8
1AT,2.92
1AT,7.67
1AT,6.92
1AT,8.33
1AT,2.67
1AT,6.5
1AT,6.08
1AT,6.75
1AT,8.5
1AT,8.08
1AT,8.08
1AT,7.5
1AT,5.17
1AT,8.25
1AT,9
1AT,7.42
1AT,9.5
1AT,8.83
1AT,6.42
1AT,3.17
1AT,6.58
1AT,8.83
1AT,7.42
1AT,8.58
1AT,2.67
1AT,7.67
1AT,5.17
1AT,8.83
1AT,3.33
1AT,3.75
1AT,5.83
1AT,4.25
1AT,8.83
1AT,6.25
1AT,3.25
1AT,9.33
1AT,4.17
1AT,8.5
1AT,5.58
1AT,5.75
1AT,7.5
1AT,8
1AT,8.83
1AT,9.67
1AT,6.67
1AT,4.83
1AT,7.92
1AT,6.92
1AT,7
1AT,6.25
1AT,2.42
1AT,3.17
1AT,4.42
1AU,4
1AU,5.5
1AU,7.75
1AU,6.67
1AU,8.83
1AU,4.42
1AU,7
1AU,7
1AU,8
1AU,3.67
1AU,5.83
1AU,7.83
1AU,4.42
1AU,7.42
1AU,4.83
1AU,7.83
1AU,6.5
1AU,8.5
1AU,3.08
1AU,6.17
1AU,4.75
1AU,5.75
1AU,4.58
1AU,6.08
1AU,5.67
1AU,5.33
1AU,6.08
1AU,8
1AU,7.33
1AU,5.42
1AU,5.92
1AU,1.92
1AU,4.58
1AU,1.83
1AU,6.25
1AU,5.67
1AU,6.75
1AU,6.58
1AU,3.33
1AU,7.92
1AU,7
1AU,7
1AU,5.83
1AU,3.75
1AU,3.67
1AU,3.5
1BC,6.83
1BC,5.08
1BC,1
1BC,5.42
1BC,0.42
1BC,3.5
1BC,6.83
1BC,7.58
1BC,6.92
1BG,8.33
1BG,6.42
1BG,7.33
1BG,8.67
1BG,6
1BG,7.83
1BG,8.5
1BG,9
1BG,8.08
1BG,9.25
1BG,7.75
1BG,7.92
1BG,9
1BG,2.08
1BG,9.5
1BG,8.17
1BG,6.33
1BG,9
1BG,3.58
1BG,9.17
1BG,9.17
1BG,7.5
1BG,7.83
1BG,8.67
1BG,8.67
1BG,8.67
1BG,9.33
1BG,8.83
1BG,9
1BG,3.42
1BG,5.75
1BG,5.42
1BG,8
1BG,7.42
1BG,7
1BG,8.83
1BG,6.83
1BG,9.17
1BG,8.25
1BG,5.58
1BG,9.17
1BG,8
1BG,9.17
1BG,8.5
1BG,5.25
1BG,2.92
1BG,8.42
1BG,8
1BG,8
1BG,9.5
1BG,7.83
1BG,1.92
1BG,8.92
1BG,7.42
1BG,7.83
1BG,9.5
1BG,7.67
1BG,7.75
1BG,8.17
1BG,5.67
1BG,8.5
1BG,8.83
1BG,8.42
1BG,10
1BG,9.33
1BG,9.5
1BG,6.25
1BG,9.67
1BG,9.67
1BG,8.25
1BG,5.83
1BG,8.67
1BG,6.75
1BG,8.33
1BG,3.08
1BG,7
1BG,8.5
1BG,8.83
1BG,5.33
1BG,8.5
1BG,8.58
1BG,5.08
1BG,6.17
1BG,7.83
1BG,8.67
1BG,9.17
1BG,9
1BG,7.67
1BG,6.83
1BG,5.42
1BG,7.92
1BG,7.25
1BG,8.33
1BG,6.33
1BG,8
1BG,9
1BG,8.5
1BG,8.5
1BG,7.5
1BG,9.42
1BG,4.75
1BG,8.25
1BG,8.58
1BG,8.33
1BG,8.5
1BG,8.75
1BG,9.42
1BG,9.5
1BG,4.5
1BG,9.75
1BG,6.08
1BG,7.67
1BG,8.25
1BG,8.67
1BG,8.42
1BG,8.92
1BG,6.92
1BG,6.83
1BG,4.75
1BG,8
1BG,9.5
1BH,7.17
1BH,8
1BH,6
1BH,3.17
1BH,6.83
1BH,8.58
1BH,6.83
1BH,8
1BH,5.33
1BH,3.17
1BH,4
1BH,5.75
1BH,8
1BH,6.33
1BH,6
1BH,7.17
1BH,4.08
1BH,8.83
1BH,6.75
1BH,5
1BH,8
1BH,5.33
1BH,6.83
1BH,2.5
1BH,8.67
1BH,1.92
1BH,6.67
1BH,6.83
1BH,5.5
1BH,7.25
1BH,8.25
1BH,3.33
1BH,6.83
1BH,6.83
1BH,4.92
1BH,8.42
1BH,7.67
1BH,5.92
1BH,5.67
1BH,8
1BH,8.75
1BH,7.08
1BH,4.92
1BH,8
1BH,5.58
1BH,3.42
1BH,7.92
1BH,2.83
1BH,3
1BH,6.17
1BH,3
1BH,8.58
1BH,6.58
1BH,3
1BH,4.58
1BH,7.25
1BH,4.25
1BH,1.08
1BH,6.67
1BH,7.67
1BH,6.67
1BH,8.92
1BH,6
1BH,3.42
1BH,7
1BH,5
1BH,7.67
1BH,2.83
1BH,2.25
1BI,5.92
1BI,9.17
1BI,8.08
1BI,8.5
1BI,5.5
1BI,9.33
1BI,9.33
1BI,9.17
1BI,7.92
1BI,8.83
1BI,8.17
1BI,9.83
1BI,5.75
1BI,7.83
1BI,9.17
1BI,7.5
1BI,6.08
1BI,8.67
1BI,9.33
1BI,5.5
1BI,9.5
1BI,7.83
1BI,9
1BI,7.67
1BI,9.5
1BI,4.58
1BI,8.67
1BI,9.33
1BI,3.08
1BI,8.42
1BI,8.25
1BI,7.25
1BI,9.33
1BI,7.67
1BI,7.17
1BI,4.08
1BI,6.17
1BI,7.5
1BI,6.42
1BI,3.92
1BI,8.83
1BI,9
1BI,8.5
1BI,9.17
1BI,7.75
1BI,7.33
1BI,7.58
1BI,8.25
1BI,8.25
1BI,5.33
1BI,7.83
1BI,2.67
1BI,7.75
1BI,8
1BI,7.58
1BI,9.5
1BI,9.5
1BI,7.92
1BI,5.5
1BI,9.08
1BI,5.17
1BI,7.17
1BI,8.92
1BI,6.83
1BI,9.33
1BI,7
1BI,3.42
1BI,9.25
1BI,8.17
1BI,4.5
1BI,3
1BI,8
1BI,8.42
1BI,2.42
1BI,7.5
1BI,8.75
1BI,8.5
1BI,2.67
1BI,8.58
1BI,7.08
1BI,8.08
1BI,8.33
1BI,8.67
1BI,4.08
1BI,8.75
1BI,8.5
1BI,4.42
1BI,8.67
1BI,9.25
1BI,8.67
1BI,8.5
