CC,USN,sgpa
1AC,1AC16CS001,6.58
1AC,1AC16CS002,7.5
1AC,1AC16CS003,4.33
1AC,1AC16CS004,5.25
1AC,1AC16CS005,8.17
1AC,1AC16CS006,5.33
1AC,1AC16CS007,6.67
1AC,1AC16CS008,5.25
1AC,1AC16CS009,6
1AC,1AC16CS010,3.83
1AC,1AC16CS011,4.33
1AC,1AC16CS012,6.5
1AC,1AC16CS013,7.75
1AC,1AC16CS014,1.08
1AC,1AC16CS015,7.25
1AC,1AC16CS016,6.75
1AC,1AC16CS017,6.42
1AC,1AC16CS018,1
1AC,1AC16CS019,4.92
1AC,1AC16CS020,1.75
1AC,1AC16CS021,7.17
1AC,1AC16CS022,5.83
1AC,1AC16CS023,7.08
1AC,1AC16CS024,4.75
1AC,1AC16CS025,6.42
1AC,1AC16CS026,7.83
1AC,1AC16CS027,2.25
1AC,1AC16CS028,6.75
1AC,1AC16CS029,6.83
1AC,1AC16CS030,2.42
1AC,1AC16CS031,4.17
1AC,1AC16CS032,6.92
1AC,1AC16CS033,3.08
1AC,1AC16CS034,2.58
1AC,1AC16CS035,2.5
1AC,1AC16CS036,4.92
1AC,1AC16CS037,3.08
1AC,1AC16CS038,2.58
1AC,1AC16CS039,4.42
1AC,1AC16CS040,6.75
1AC,1AC16CS041,5.42
1AC,1AC16CS042,1.33
1AC,1AC16CS043,3.5
1AC,1AC16CS044,6.42
1AC,1AC16CS045,6.83
1AC,1AC16CS046,5.67
1AC,1AC16CS047,1.42
1AC,1AC16CS048,2.17
1AC,1AC16CS049,1.25
1AC,1AC16CS050,1.75
1AC,1AC16CS051,6.25
1AC,1AC16CS052,4.25
1AC,1AC16CS053,5.17
1AC,1AC16CS054,6.17
1AC,1AC16CS055,6.58
1AC,1AC16CS056,3
1AC,1AC16CS057,6.08
1AC,1AC16CS058,3
1AC,1AC16CS059,6.33
1AC,1AC16CS060,8
1AC,1AC16CS061,3.5
1AC,1AC16CS062,5.58
1AC,1AC16CS063,5.58
1AC,1AC16CS065,4.25
1AC,1AC16CS066,6.17
1AC,1AC16CS067,2.75
1AC,1AC16CS068,3.17
1AC,1AC16CS069,3.58
1AC,1AC16CS070,2.92
1AC,1AC16CS071,1.25
1AC,1AC16CS072,0.5
1AC,1AC16CS074,8.33
1AC,1AC16CS075,1.92
1AC,1AC16CS076,7.67
1AC,1AC16CS077,6.42
1AC,1AC16CS078,2.83
1AC,1AC16CS079,8.58
1AC,1AC16CS080,3.5
1AC,1AC16CS081,6.08
1AH,1AH16CS001,4
1AH,1AH16CS002,1.25
1AH,1AH16CS003,7.83
1AH,1AH16CS004,1
1AH,1AH16CS005,1.08
1AH,1AH16CS006,7.33
1AH,1AH16CS007,6.08
1AH,1AH16CS008,3.83
1AH,1AH16CS009,7.33
1AH,1AH16CS010,8.17
1AH,1AH16CS011,6.92
1AH,1AH16CS012,5.42
1AH,1AH16CS013,3.25
1AH,1AH16CS014,4.83
1AH,1AH16CS015,3.42
1AH,1AH16CS016,4.58
1AH,1AH16CS017,7.33
1AH,1AH16CS018,2.33
1AH,1AH16CS019,5.92
1AH,1AH16CS020,6.83
1AH,1AH16CS021,8.25
1AH,1AH16CS022,6.83
1AH,1AH16CS023,0.67
1AH,1AH16CS024,3.25
1AH,1AH16CS025,7.83
1AH,1AH16CS026,1.75
1AH,1AH16CS027,7.33
1AH,1AH16CS028,6.17
1AH,1AH16CS029,6.83
1AH,1AH16CS030,7.92
1AH,1AH16CS031,6.83
1AH,1AH16CS032,2.92
1AH,1AH16CS033,7.5
1AH,1AH16CS034,8.33
1AH,1AH16CS035,7
1AH,1AH16CS036,8.17
1AH,1AH16CS037,3.92
1AH,1AH16CS038,4
1AH,1AH16CS039,1.92
1AH,1AH16CS040,6.83
1AH,1AH16CS041,7.5
1AH,1AH16CS042,8.67
1AH,1AH16CS043,1.42
1AH,1AH16CS044,1.83
1AH,1AH16CS045,2.75
1AH,1AH16CS046,6.08
1AH,1AH16CS047,6.67
1AH,1AH16CS048,5.5
1AH,1AH16CS049,7.08
1AH,1AH16CS050,6.83
1AH,1AH16CS051,1.25
1AH,1AH16CS052,3.92
1AH,1AH16CS053,6.83
1AH,1AH16CS054,5.58
1AH,1AH16CS055,5.33
1AH,1AH16CS056,3.08
1AH,1AH16CS058,6
1AJ,1AJ16CS001,3.58
1AJ,1AJ16CS002,1.17
1AJ,1AJ16CS003,2.92
1AJ,1AJ16CS004,6.75
1AJ,1AJ16CS005,2.5
1AJ,1AJ16CS006,5.75
1AJ,1AJ16CS007,8.42
1AJ,1AJ16CS008,6.42
1AJ,1AJ16CS011,7.92
1AJ,1AJ16CS012,1.83
1AJ,1AJ16CS013,6.17
1AJ,1AJ16CS014,7.17
1AJ,1AJ16CS015,4.08
1AJ,1AJ16CS016,3.42
1AJ,1AJ16CS017,7
1AJ,1AJ16CS018,2.75
1AJ,1AJ16CS019,8.5
1AJ,1AJ16CS020,2.83
1AJ,1AJ16CS021,5.42
1AJ,1AJ16CS025,4.92
1AJ,1AJ16CS026,5.83
1AJ,1AJ16CS027,5.83
1AJ,1AJ16CS028,3.58
1AJ,1AJ16CS029,2.83
1AJ,1AJ16CS032,3.67
1AJ,1AJ16CS033,2.08
1AJ,1AJ16CS034,4
1AJ,1AJ16CS035,5.92
1AJ,1AJ16CS037,7.42
1AJ,1AJ16CS038,4.17
1AJ,1AJ16CS039,4.92
1AJ,1AJ16CS040,3.75
1AJ,1AJ16CS041,5.67
1AJ,1AJ16CS042,5.33
1AJ,1AJ16CS043,2.17
1AJ,1AJ16CS044,6.83
1AJ,1AJ16CS045,7.33
1AJ,1AJ16CS046,2.75
1AJ,1AJ16CS047,3.08
